/*********************************************
Data for Question Two Instance One
 *********************************************/
P=12;
S=14;
M=2;

Family1={1,2,3,4,5,6};
Family2={7,8,9,10,11,12};

C= [402,	473,	544,	447,	329,	351, 427,	510,	605,	348,	388,	507];
 

f=2360;
F=3540;

h= [  0.68,	0.45,	0.40,	0.49,	0.54,	1,0.70,	0.63,	0.54,	0.45,	0.62,	0.48 ];


p0 = [1, 6];

Istart = [1022,458, 342, 89, 345, 954, 345, 678, 54, 321, 450, 87];

D = [  [  123,   0, 265,   0,  0,  0,265,265, 265, 265,265,   0,265,265],
  [  75, 150,   0, 150,  0,  0,  0,150, 150,   0,150, 150,  0,  0],
  [  0, 150,   0,   0,  0,300,300,  0,   0,   0,300, 300,300,  0],
  [  150, 325,   0, 325,325,  0,  0,150,   0,   0,325, 325,  0,150],
  [   0,   0,  50,  50,  0, 90,120,  0,   0,   0,120, 120,120,  0],
  [  167,   0, 235,   0,  0,  0,  0,  0, 235, 470,  0, 470,  0,235], 
  [    0,   0,   0,   0,  0,  0,  0,  0,   0, 250,250,   0,  0,250],
  [  135,   0,   0,   0,  0,  0,  0,  0,   0, 220,  0, 220,  0,220],
  [    0,   0,   0,   0,  0,  0, 80,  80, 80,   0,  0,   0,  0,  0],
  [    0,   0,   0,   0,  0,  0,450,  0,   0,   0,  0, 450,  0,450],
  [    0,   0,   0,   0,  0,  0,  0,  0, 320, 320,  0,   0, 70, 70],
  [    0,   0, 280,   0,  0,  0,280,  0,   0,   0, 280, 470,  0,  0]];
